tourney_name,draw_size,tourney_date,match-num,Player1_name,Player1_hand,Player1_ht,Player1_nat,Player1_age,Player1_rank,Player1_rankpoints,score,best_of,round,Player2_name,Player2_hand,Player2_ht,Player2_nat,Player2_age,Player2_rank,Player2_rankpoints,winner
2001 World Championships,16,20010423,1,Wang Liqin,R,185,CHN,22,1,2361,20-22 21-17 21-16 21-16,5,R16,Jurgen Persson,R,186,SWE,35,13,1903,1
2001 World Championships,16,20010423,2,Kim Taek-soo,R,175,KOR,30,7,2044,21-16 21-17 21-16,5,R16,Zoran Primorac,R,186,CRO,31,9,2021,1
2001 World Championships,16,20010423,3,Lui Guoliang,R,168,CHN,25,8,2040,21-12 21-10 21-11,5,R16,Adrian Crisan ,R,185,ROM,20,45,1528,1
2001 World Championships,16,20010423,4,Chiang Peng-lung,R,184,TPE,24,4,2099,21-18 21-16 21-18,5,R16,Timo Boll,L,181,GER,20,27,1688,1
2001 World Championships,16,20010423,5,Ma Lin,R,174,CHN,21,3,2131,21-14 21-10 21-23 21-18,5,R16,Jurg Rosskopf,L,182,GER,31,14,1883,1
2001 World Championships,16,20010423,6,Werner Schlager,R,176,AUT,28,10,1998,20-22 22-20 17-21 10-21,5,R16,Liu Guozheng,R,168,CHN,21,4,2099,0
2001 World Championships,16,20010423,7,Vladimir Samsonov,R,190,BLR,25,6,2070,21-8 21-14 21-18,5,R16,Jan-Ove Waldner,R,179,SWE,35,11,1923,1
2001 World Championships,16,20010423,8,Patrick Chila,L,180,FRA,31,24,1698,14-21 9-21 12-21,5,R16,Kong Linghui,R,174,CHN,25,2,2180,0
2001 World Championships,16,20010423,9,Wang Liqin,R,185,CHN,22,1,2361,15-21 21-14 21-16 21-13,5,QF,Kim Taek-soo,R,175,KOR,30,7,2044,1
2001 World Championships,16,20010423,10,Lui Guoliang,R,168,CHN,25,8,2040,21-12 17-21 6-21 19-21,5,QF,Chiang Peng-lung,R,184,TPE,24,4,2099,0
2001 World Championships,16,20010423,11,Ma Lin,R,174,CHN,21,3,2131,21-19 21-13 10-21 14-21 21-19,5,QF,Liu Guozheng,R,168,CHN,21,4,2099,1
2001 World Championships,16,20010423,12,Vladimir Samsonov,R,190,BLR,25,6,2070,15-21 10-21 21-11 20-22,5,QF,Kong Linghui,R,174,CHN,25,2,2180,0
2001 World Championships,16,20010423,13,Wang Liqin,R,185,CHN,22,1,2361,21-13 24-22 21-14,5,SF,Chiang Peng-lung,R,184,TPE,24,4,2099,1
2001 World Championships,16,20010423,14,Ma Lin,R,174,CHN,21,3,2131,21-14 17-21 13-21 15-21,5,SF,Kong Linghui,R,174,CHN,25,2,2180,0
2001 World Championships,16,20010423,15,Wang Liqin,R,185,CHN,22,1,2361,11-21 11-21 21-16 21-13 21-13,5,F,Kong Linghui,R,174,CHN,25,2,2180,1
2003 World Championships,16,20030519,1,Qui Yike,R,173,CHN,17,40,1673,11-6 11-8 9-11 11-6 9-11 11-8,7,R16,Adrian Crisan ,R,185,ROM,22,52,1565,1
2003 World Championships,16,20030519,2,Oh Sang-eun,R,186,KOR,26,13,1913,8-11 11-6 11-8 7-11 10-12 6-11,7,R16,Kong Linghui,R,174,CHN,27,8,2089,0
2003 World Championships,16,20030519,3,Werner Schlager,R,176,AUT,30,6,2125,5-11 11-3 13-11 12-10 10-12 11-8,7,R16,Kim Taek-soo,R,175,KOR,32,20,1844,1
2003 World Championships,16,20030519,4,Chiang Peng-lung,R,184,TPE,26,11,1946,6-11 11-4 1-11 10-12 11-6 6-11,7,R16,Wang Liqin,R,185,CHN,24,4,2174,0
2003 World Championships,16,20030519,5,Kalinakos Kreanga,R,168,GRE,31,9,2005,8-11 11-6 11-1 13-15 11-9 7-11 11-5,7,R16,Vladimir Samsonov,R,190,BLR,27,3,2188,1
2003 World Championships,16,20030519,6,Chen Weixing,R,173,AUT,31,42,1661,5-11 11-9 12-10 11-13 9-11 11-4 11-9,7,R16,Wang Hao,R,175,CHN,19,7,2111,1
2003 World Championships,16,20030519,7,Chuang Chih-yuan,R,169,TPE,22,5,2147,5-11 11-6 2-11 9-11 6-11,7,R16,Joo Sae-hyuk,R,180,KOR,23,61,1532,0
